# role=DOL_BASELINE	git=776619f88d2d5ce52f09ab956194fd519a41f985	pin=776619f88d2d5ce52f09ab956194fd519a41f985	pin_ok=true
direction	opcode_hex	opcode_dec	name	on_1127_route	version_route	implementing_lib	sender_or_handler	transport	provenance	caer_status	product_consumer	negatives
S2C	0x02	2	InventoryUpdate	yes	PacketLib1127 vtable; layout from PacketLib189 (not generic version support)	PacketLib189	SendInventoryItemsPartialUpdate,SendInventorySlotsUpdateRange	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib189.cs	TYPED_DECODE	Drain	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x03	3	HouseUserPermissions	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendHouseUsersPermissions	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	ABSENT	-	-
S2C	0x04	4	CharacterJump	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendPlayerJump	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x08	8	HouseEnter	yes	PacketLib1127 vtable; layout from PacketLib189 (not generic version support)	PacketLib189	SendEnterHouse	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib189.cs	ABSENT	-	-
S2C	0x09	9	HousingItem	yes	PacketLib1127 vtable; layout from PacketLib1125 (not generic version support)	PacketLib1125	SendFurniture	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1125.cs	ABSENT	-	-
S2C	0x0A	10	HouseExit	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendExitHouse	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	ABSENT	-	-
S2C	0x0F	15	HouseTogglePoints	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendToggleHousePoints	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	ABSENT	-	-
S2C	0x12	18	MovingObjectCreate	yes	PacketLib1127 vtable; layout from PacketLib168 (not generic version support)	PacketLib168	SendMovingObjectCreate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib168.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
S2C	0x13	19	MasterLevelWindow	yes	PacketLib1127 vtable; layout from PacketLib190 (not generic version support)	PacketLib190	SendMasterLevelWindow	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib190.cs	ABSENT	-	-
S2C	0x15	21	EquipmentUpdate	yes	PacketLib1127 vtable; layout from PacketLib1124 (not generic version support)	PacketLib1124	SendLivingEquipmentUpdate	TCP	OPEN_ORACLE:GameServer/packets/Server/PacketLib1124.cs	TYPED_DECODE	-	malformed payload → ServerEvent::Raw (short-read must fail closed)
