# frame=v2 (post world-mirror fix) — zone_id	fixture_id	yaw_radians	dx	dy	dz  (in-renderer editor: Tab, click, Q/E rotate, WASD/Space/Z move)
0	555	4.712388	0	0	0
0	1849	-0	0	235	0
3	704	2.2863827	0	0	0
4	291	2.1467562	0	0	0
4	469	2.5307274	0	0	0
4	871	0.5581516	0	0	0
4	872	1.9896755	-200	5	194.99976
4	1015	4.791592	0	0	0
8	186	5.759587	0	0	0
9	297	5.5501466	0	0	0
9	529	6.0911984	0	0	0
9	750	4.084071	0	0	0
9	1000	3.141593	5	540	0
54	1508	2.3561947	0	0	0
100	832	3.0543265	0	0	0
182	2	5.0090938	0	0	0
182	3	1.7104228	0	0	0
182	636	2.495822	0	0	0
182	639	3.420846	0	0	0
182	642	1.4835298	385	0	0
183	709	2.1642072	0	0	0
200	1113	6.095866	0	0	0
200	1114	1.1306794	0	0	0
200	1130	1.3089976	0	0	0
200	1568	0.506145	0	0	0
200	1569	0.38397223	0	0	0
200	1612	0.6079918	0	0	270
201	934	4.223697	0	0	0
201	935	4.153873	0	0	0
201	937	2.0943959	0	0	0
201	938	0.85521096	0	0	0
201	941	2.6179934	0	0	0
202	309	1.7453296	-670	-175	0
202	362	4.153884	0	0	0
202	1225	3.535398	0	0	0
203	43	4.45059	0	0	0
203	44	5.759587	0	0	0
206	72	4.537856	0	0	0
206	916	1.4486226	0	0	0
206	917	4.7123885	0	0	0
206	918	2.6179938	-5	0	0
207	1	0.17453346	165	105	35
207	1006	4.9741874	0	0	0
207	1106	3.804818	110	0	0
207	1464	4.3807774	0	0	0
207	1472	3.6302824	0	-15	0
207	1615	3.1254675	50	-80	0
207	1616	4.0353975	0	0	10
207	1617	0.035398006	0	0	15
207	1836	0	70	170	0
