# terrain flatten patches — cx	cy	radius	target_z	falloff	region
517573	370199	400	7584.0	240	1
517499	370019	400	7584.0	240	1
517462	369836	400	7584.0	240	1
517424	369659	400	7584.0	240	1
517383	369477	400	7584.0	240	1
517344	369283	400	7584.0	240	1
517466	370454	400	7584.0	240	1
517351	370315	400	7584.0	240	1
517293	370143	400	7584.0	240	1
517268	369946	400	7584.0	240	1
517287	369749	400	7584.0	240	1
517379	369598	400	7584.0	240	1
517414	369775	400	7584.0	240	1
517499	369934	400	7584.0	240	1
517631	370071	400	7584.0	240	1
517680	370179	400	7584.0	240	1
517770	370417	400	7584.0	240	1
517770	370417	400	7584.0	240	1
517274	366785	400	8208.0	240	1
517258	366914	400	8208.0	240	1
517230	367075	400	8208.0	240	1
517387	370120	400	7584.0	240	1
517383	370119	400	7584.0	240	1
517378	370074	400	7584.0	240	1
517345	369893	400	7584.0	240	1
517312	369778	400	7584.0	240	1
517305	369735	400	7584.0	240	1
517305	369735	400	7584.0	240	1
517305	369735	400	7584.0	240	1
517305	369735	400	7584.0	240	1
517288	369709	400	7584.0	240	1
517257	369657	400	7584.0	240	1
517257	369657	400	7584.0	240	1
517080	370064	400	7584.0	240	1
517074	370064	400	7584.0	240	1
517090	370084	400	7584.0	240	1
516694	369446	400	7632.0	240	1
516694	369446	400	7632.0	240	1
516802	369463	400	7632.0	240	1
516944	369466	400	7632.0	240	1
516987	369412	400	7632.0	240	1
516987	369412	400	7632.0	240	1
517021	369255	400	7632.0	240	1
517033	369216	400	7632.0	240	1
517033	369216	400	7632.0	240	1
517115	369454	400	7632.0	240	1
517122	369477	400	7632.0	240	1
517114	369593	400	7632.0	240	1
517115	369594	400	7632.0	240	1
517116	369633	400	7632.0	240	1
517111	369652	400	7632.0	240	1
517117	369652	400	7632.0	240	1
517117	369652	400	7632.0	240	1
517119	369653	400	7632.0	240	1
517126	369712	400	7632.0	240	1
517150	369812	400	7632.0	240	1
517162	369833	400	7632.0	240	1
517163	369852	400	7632.0	240	1
517168	369986	400	7632.0	240	1
517168	370023	400	7632.0	240	1
517168	370023	400	7632.0	240	1
517183	370080	400	7632.0	240	1
517297	370271	400	7632.0	240	1
517436	370386	400	7632.0	240	1
517591	370291	400	7632.0	240	1
517656	370124	400	7632.0	240	1
517840	370123	400	7632.0	240	1
518162	370170	400	7632.0	240	1
517987	370120	400	7632.0	240	1
517899	370279	400	7632.0	240	1
517952	370478	400	7632.0	240	1
518006	370654	400	7632.0	240	1
517963	370479	400	7632.0	240	1
517851	369707	400	7632.0	240	1
517752	369508	400	7632.0	240	1
517673	369343	400	7632.0	240	1
517577	369169	400	7632.0	240	1
517696	369309	400	7632.0	240	1
517733	369485	400	7632.0	240	1
517754	370011	400	7632.0	240	1
517831	369846	400	7632.0	240	1
517848	369451	400	7632.0	240	1
517803	369276	400	7632.0	240	1
517642	369183	400	7632.0	240	1
517348	368870	400	7632.0	240	1
517498	369052	400	7632.0	240	1
517455	368858	400	7632.0	240	1
517603	368975	400	7632.0	240	1
517497	368828	400	7632.0	240	1
517398	368614	400	7632.0	240	1
517319	368441	400	7632.0	240	1
517363	368625	400	7632.0	240	1
517605	369252	400	7632.0	240	1
517690	369441	400	7632.0	240	1
517804	369717	400	7632.0	240	1
